date,time,username,name,tweet,polarity,sentiment
2/16/2021,16:29:16,louisadamo,Louis Adamo,Please include RESTART ACT to save the Live Events Industry WeMakeEvents ExtendPUA LiveEventsCo LiveEventsAid RestartAct californiaeventscoalition,0.136363636,positive
2/2/2021,22:06:59,mvaughnrp,Mary Vaughn,I agree However due to gathering restrictions my industry is shut out of that opportunity The live events industry is getting crushed I don t want a hand out I want my career and the careers of 12 million of my colleagues to return RestartAct ExtendPUA wemakeevents,-0.029545455,negative
1/27/2021,10:31:12,txliveeventsco,Texas Live Events Coalition,Did you see our newsletter is asking for YOUR personal story Please share yours by Feb 5th saveliveevents restartact shareyourstory,0,neutral
1/19/2021,16:12:16,wemakeevents_na,We Make Events North America,immense amount of enjoyment entertainment and value that it brings to all For more visit We Make Events North America s website here wemakeeventsnorthamerica wemakeevents RedAlertRESTART ExtendPUA ExpandPPP restartact livemusic concert,0.25,positive
1/14/2021,12:52:14,isebrand,Isebrand,is right to call on the federal government to get PPP funds to NYC small businesses He should also advocate for Senator s RESTARTact,0.017857143,positive
1/7/2021,11:14:00,pyrotecnico,Pyrotecnico,restartAct still needed for our Industry Good Interview w Jim fireworks specialEffects,0.7,positive
1/6/2021,13:03:05,pyrospectacular,Pyro Spectaculars,Small businesses still need your help Watch this interview from Goldman Sachs CEO David Solomon speaking to the plight of small businesses in general and promoting PPP souzastrong COVIDrelief RESTARTact,-0.15,negative
1/6/2021,8:15:50,brianfbriggs,Brian,RESTARTACT,0,neutral
12/24/2020,11:09:34,playmodedfw,PlayMode Ent,Bandit Lites owner helped write the RESTARTAct meant to help the live event industry effectively closed since March and likely to stay that way until next June by providing 7yr low interest loans to businesses affected PlaymodeXperience,0.007272727,positive
12/23/2020,12:26:42,jancalavera,Jan Calavera,Look at the joy in everyone s faces ArtisEssential y all Two things WearYourMask amp help push the ReStartAct UglyCrying RedAlert OdeToJoy Beethoven,0.8,positive
12/18/2020,16:01:05,hitopsorbust,hi tops or bust,I am a live event producer Concerts festivals amp events are my jam 99 9 of the 12 million people in the events industry are unemployed Intentionally starving and evicting human beings when you can help is violence SurvivalChecksNow RestartAct,0.068181818,positive
12/16/2020,18:20:31,calinuckian,Can T,Thank you for helping us thousands of forgotten production industry people out RestartAct,0,neutral
12/16/2020,12:50:55,jancalavera,Jan Calavera,Honestly this is me every time I see someone without a mask By the way are you familiar with the ReStartAct and PUA Follow those along RedAlert amp WeMakeEvents to learn how the entertainment industry is suffering ThankYou SupportArt Showgirl PutMeBackOnAstage,0.4875,positive
12/16/2020,12:16:06,atlaspyrovision,Atlas Fireworks,Attention Congress Live Entertainment needs a lifeline PPP RestartAct ReliefNow,0.136363636,positive
12/15/2020,20:10:12,davidyuxx1,Davidyuxx,Today in Every person business amp industry has been impacted by this pandemic but the live entertainment industry has been hit especially hard amp so many more Hoosier companies are struggling My RESTARTact,0.138257576,positive
